"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Live born children/Live born children (number)";"Live born children/Live born children, ratio (per 1,000)";"Deaths/Deaths (number)";"Deaths/Deaths, ratio (per 1,000)";"Natural increase (number)";"Arrivals in municipality/Total arrivals (number)";"Arrivals in municipality/Total arrivals, ratio (per 1,000)";"Arrivals in municipality/Due to immigration (number)";"Arrivals in municipality/Due to intermunicipal moves (number)";"Departures from municipality/Total departures including administra... (number)";"Departures from municipality/Total departures including adm..., ratio (per 1,000)";"Departures from municipality/Due to emigration including administr... (number)";"Departures from municipality/Due to intermunicipal moves (number)";"Net migration including administrative.. (number)";"Population growth/Population growth (number)";"Population growth/Population growth, ratio (per 1,000)";"Population on 31 December (number)"
"Total male and female";"1950";"Flevoland (PV)";;;;;;;;;;;;;;;;;;;
"Total male and female";"1960";"Flevoland (PV)";;;;;;;;;;;;;;;;;;;
"Total male and female";"1970";"Flevoland (PV)";;;;;;;;;;;;;;;;;;;
"Total male and female";"1980";"Flevoland (PV)";;;;;;;;;;;;;;;;;;;
"Total male and female";"1990";"Flevoland (PV)";211507;;3889;18;1062;4,9;2827;16573;76,5;1546;15027;9418;43,5;878;8540;7155;9998;47,3;221505
"Total male and female";"2000";"Flevoland (PV)";317206;223;5064;15,7;1746;5,4;3318;22378;69,3;3049;19329;14039;43,5;1368;12671;8339;11730;37;328936
"Total male and female";"2010";"Flevoland (PV)";387881;274;5310;13,6;2116;5,4;3194;17171;44;4064;13107;16265;41,7;2763;13502;906;4086;10,5;391967
"Total male and female";"2020";"Flevoland (PV)";423021;300;4871;11,4;2740;6,4;2131;24357;57,2;4932;19425;21291;50;3385;17906;3066;5205;12,3;428226
"Total male and female";"2023";"Flevoland (PV)";444701;315;4966;11,1;2912;6,5;2054;28933;64,6;7829;21104;24838;55,5;6456;18382;4095;6125;13,8;450826
"Total male and female";"1950";"Gelderland (PV)";1077612;;25738;23,6;8437;7,7;17301;56051;51,5;;;49988;45,9;;;6063;23364;21,7;1100976
"Total male and female";"1960";"Gelderland (PV)";1266885;;27407;21,5;9508;7,4;17899;66758;52,3;4068;62690;63686;49,9;4657;59029;3072;20940;16,5;1287825
"Total male and female";"1970";"Gelderland (PV)";1505760;;29751;19,6;12911;8,5;16840;89612;59;8664;80948;78404;51,6;5586;72818;11208;27980;18,6;1533740
"Total male and female";"1980";"Gelderland (PV)";1694416;;22154;13;13503;7,9;8651;74332;43,7;9459;64873;68620;40,3;5192;63428;5712;14444;8,5;1708860
"Total male and female";"1990";"Gelderland (PV)";1804209;;23891;13,2;15601;8,6;8290;76894;42,5;9337;67557;72545;40,1;5592;66953;4349;12726;7,1;1816935
"Total male and female";"2000";"Gelderland (PV)";1919158;385;25370;13,2;17005;8,8;8365;84273;43,7;11168;73105;77895;40,4;6448;71447;6378;15156;7,9;1934314
"Total male and female";"2010";"Gelderland (PV)";1998936;402;21142;10,6;16730;8,4;4412;84184;42,1;12106;72078;82734;41,3;10944;71790;1450;5735;2,9;2004671
"Total male and female";"2020";"Gelderland (PV)";2085952;420;19885;9,5;20943;10;-1058;115572;55,3;17401;98171;103815;49,6;11753;92062;11757;10651;5,1;2096603
"Total male and female";"2023";"Gelderland (PV)";2133708;430;19397;9,1;20957;9,8;-1560;127151;59,4;27342;99809;110176;51,5;16734;93442;16975;15363;7,2;2149071
"Total male and female";"1950";"Utrecht (PV)";573422;;13247;22,9;4580;7,9;8667;35513;61,4;;;33426;57,8;;;2087;10754;18,8;584176
"Total male and female";"1960";"Utrecht (PV)";676889;;14257;20,9;5395;7,9;8862;40200;59;2934;37266;39548;58;3585;35963;652;9688;14,3;686577
